Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file
53,138.21,137.88,0.0035808,0.0035721,0.0138127,0.0123421,0.9975703753351206,0.4022956589657127,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4369,3.7632,3.3154,2.9732,2.7996,0.631,-0.1004500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
54,137.93,137.35,0.0035736,0.0035586,0.0137859,0.0122944,0.9958025520483546,0.4028647227233773,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4343,3.7619,3.3121,2.9656,2.8,0.618,-0.1080500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
55,136.85,136.68,0.0035455,0.003541,0.0136809,0.0122245,0.99873078550275,0.4063925454347843,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4231,3.7583,3.3062,2.959,2.8,0.601,-0.1146500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
56,138.6,138.43,0.0035909,0.0035865,0.0138597,0.0124229,0.9987746804422288,0.3958782764603819,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4595,3.7761,3.3239,2.9888,2.8,0.644,-0.0848500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
57,138.67,138.74,0.0035926,0.0035944,0.0138588,0.0124435,1.000501029894784,0.3956831941647643,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4503,3.7758,3.3255,2.9837,2.7999,0.652,-0.0899500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
58,138.39,138.03,0.0035854,0.0035761,0.0138312,0.0123748,0.99740614715234,0.3972271196256942,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4447,3.7793,3.3214,2.9755,2.7999,0.634,-0.0981500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
59,138.55,138.07,0.0035897,0.0035772,0.0138553,0.0123837,0.9965178148591805,0.3978959186566038,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.461,3.7753,3.3212,2.9815,2.7997,0.635,-0.0921500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
60,137.78,137.58,0.0035696,0.0035643,0.0137708,0.0123329,0.998515239802779,0.3976807968678586,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4468,3.7712,3.3178,2.9732,2.7997,0.623,-0.1004500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
61,137.75,137.89,0.0035688,0.0035724,0.013773,0.0123582,1.001008742434432,0.3999253749718474,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4382,3.7721,3.3185,2.9741,2.7998,0.631,-0.0995500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
62,137.33,136.56,0.003558,0.0035379,0.0137249,0.012228,0.9943507588532884,0.4011884819202063,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4285,3.7638,3.3104,2.9661,2.7999,0.597,-0.1075500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
