Cycle,cycles,hard_fail_cnt,soft_fail_cnt,both_fail_cnt,pct_hard_fail,pct_soft_fail,pct_both_fail
531,17,17,17,17,100.0,100.0,100.0
532,17,17,17,17,100.0,100.0,100.0
533,17,17,17,17,100.0,100.0,100.0
534,17,17,17,17,100.0,100.0,100.0
535,17,17,17,17,100.0,100.0,100.0
536,17,17,17,17,100.0,100.0,100.0
537,17,17,17,17,100.0,100.0,100.0
538,17,17,17,17,100.0,100.0,100.0
539,17,17,17,17,100.0,100.0,100.0
540,17,17,17,17,100.0,100.0,100.0
541,17,17,17,17,100.0,100.0,100.0
542,17,17,17,17,100.0,100.0,100.0
543,17,17,17,17,100.0,100.0,100.0
544,17,17,17,17,100.0,100.0,100.0
545,17,17,17,17,100.0,100.0,100.0
546,17,17,17,17,100.0,100.0,100.0
547,17,17,17,17,100.0,100.0,100.0
548,17,17,17,17,100.0,100.0,100.0
549,17,17,17,17,100.0,100.0,100.0
550,17,17,17,17,100.0,100.0,100.0
551,17,17,17,17,100.0,100.0,100.0
552,17,17,17,17,100.0,100.0,100.0
553,17,17,17,17,100.0,100.0,100.0
554,17,17,17,17,100.0,100.0,100.0
555,17,17,17,17,100.0,100.0,100.0
556,17,17,17,17,100.0,100.0,100.0
557,17,17,17,17,100.0,100.0,100.0
558,17,17,17,17,100.0,100.0,100.0
559,17,17,17,17,100.0,100.0,100.0
560,17,17,17,17,100.0,100.0,100.0
561,17,17,17,17,100.0,100.0,100.0
562,17,17,17,17,100.0,100.0,100.0
563,17,17,17,17,100.0,100.0,100.0
564,17,17,17,17,100.0,100.0,100.0
565,17,17,17,17,100.0,100.0,100.0
566,17,17,17,17,100.0,100.0,100.0
567,17,17,17,17,100.0,100.0,100.0
568,17,17,17,17,100.0,100.0,100.0
569,17,17,17,17,100.0,100.0,100.0
570,17,17,17,17,100.0,100.0,100.0
571,17,17,17,17,100.0,100.0,100.0
572,17,17,17,17,100.0,100.0,100.0
573,17,17,17,17,100.0,100.0,100.0
574,17,17,17,17,100.0,100.0,100.0
575,17,17,17,17,100.0,100.0,100.0
576,17,17,17,17,100.0,100.0,100.0
577,17,17,17,17,100.0,100.0,100.0
578,17,17,17,17,100.0,100.0,100.0
579,17,17,17,17,100.0,100.0,100.0
580,17,17,17,17,100.0,100.0,100.0
581,17,17,17,17,100.0,100.0,100.0
582,17,17,17,17,100.0,100.0,100.0
583,17,17,17,17,100.0,100.0,100.0
584,17,17,17,17,100.0,100.0,100.0
585,17,17,17,17,100.0,100.0,100.0
586,17,17,17,17,100.0,100.0,100.0
587,17,17,17,17,100.0,100.0,100.0
588,17,17,17,17,100.0,100.0,100.0
589,17,17,17,17,100.0,100.0,100.0
590,17,17,17,17,100.0,100.0,100.0
591,17,17,17,17,100.0,100.0,100.0
592,17,17,17,17,100.0,100.0,100.0
593,17,17,17,17,100.0,100.0,100.0
594,17,17,17,17,100.0,100.0,100.0
595,17,17,17,17,100.0,100.0,100.0
596,17,17,17,17,100.0,100.0,100.0
597,17,17,17,17,100.0,100.0,100.0
598,17,17,17,17,100.0,100.0,100.0
599,17,17,17,17,100.0,100.0,100.0
600,17,17,17,17,100.0,100.0,100.0
601,17,17,17,17,100.0,100.0,100.0
602,17,17,17,17,100.0,100.0,100.0
603,17,17,17,17,100.0,100.0,100.0
604,17,17,17,17,100.0,100.0,100.0
605,17,17,17,17,100.0,100.0,100.0
606,17,17,17,17,100.0,100.0,100.0
607,17,17,17,17,100.0,100.0,100.0
608,17,17,17,17,100.0,100.0,100.0
609,17,17,17,17,100.0,100.0,100.0
610,17,16,15,14,94.12,88.24,82.35
611,16,15,13,13,93.75,81.25,81.25
612,16,15,13,13,93.75,81.25,81.25
613,16,16,16,16,100.0,100.0,100.0
614,16,16,16,16,100.0,100.0,100.0
615,16,16,16,16,100.0,100.0,100.0
616,16,16,16,16,100.0,100.0,100.0
617,16,16,16,16,100.0,100.0,100.0
618,16,16,16,16,100.0,100.0,100.0
619,16,16,16,16,100.0,100.0,100.0
620,16,16,16,16,100.0,100.0,100.0
621,16,16,16,16,100.0,100.0,100.0
622,16,16,16,16,100.0,100.0,100.0
623,16,16,16,16,100.0,100.0,100.0
624,16,16,16,16,100.0,100.0,100.0
